GO:0051179,localization
GO:0009987,cellular_process
GO:0009758,carbohydrate_utilization
GO:0098754,detoxification
GO:0000003,reproduction
GO:0001906,cell_killing
GO:0007610,behavior
GO:0023052,signaling
GO:0040007,growth
GO:0050896,response_to_stimulus
GO:0065007,biological_regulation
GO:0071840,cellular_component_organization_or_biogenesis
GO:0022414,reproductive_process
GO:0098743,cell_aggregation
GO:0008152,metabolic_process
GO:0051704,multi-organism_process
GO:0032502,developmental_process
GO:0044848,biological_phase
GO:0032501,multicellular_organismal_process
GO:0048511,rhythmic_process
GO:0015976,carbon_utilization
GO:0008283,cell_population_proliferation
GO:0006791,sulfur_utilization
GO:0019740,nitrogen_utilization
GO:0006794,phosphorus_utilization
GO:0022610,biological_adhesion
GO:0040011,locomotion
GO:0043473,pigmentation
GO:0002376,immune_system_process
GO:0045182,translation_regulator_activity
GO:0140299,small_molecule_sensor_activity
GO:0005198,structural_molecule_activity
GO:0031386,protein_tag
GO:0044183,protein_folding_chaperone
GO:0003824,catalytic_activity
GO:0038024,cargo_receptor_activity
GO:0090729,toxin_activity
GO:0005488,binding
GO:0140110,transcription_regulator_activity
GO:0140104,molecular_carrier_activity
GO:0060089,molecular_transducer_activity
GO:0045735,nutrient_reservoir_activity
GO:0005215,transporter_activity
GO:0016209,antioxidant_activity
GO:0098772,molecular_function_regulator
GO:0032991,protein-containing_complex
GO:0005623,cell
GO:0044425,membrane_part
GO:0099080,supramolecular_complex
GO:0044217,other_organism_part
GO:0045202,synapse
GO:0031974,membrane-enclosed_lumen
GO:0030054,cell_junction
GO:0019012,virion
GO:0043226,organelle
GO:0016020,membrane
GO:0009295,nucleoid
GO:0005576,extracellular_region
GO:0044215,other_organism
GO:0055044,symplast
GO:0044423,virion_part
GO:0044456,synapse_part
GO:0044421,extracellular_region_part
GO:0044422,organelle_part
GO:0044464,cell_part
GO:0097423,mitochondrion-associated_adherens_complex
